# Particle Count:	51
# Single Worm Area:	168
# Component Count:	2
# pX	pY	width	height	nWorm	area	label No
824	203	32	23	1	247	1
1093	224	32	18	1	128	1
1309	227	25	31	1	168	1
1709	297	34	34	1	166	1
1250	394	21	32	1	191	1
1349	425	27	35	1	116	1
1396	435	7	30	1	58	1
997	460	17	42	1	168	1
1541	474	20	36	1	164	1
1059	476	35	18	1	98	1
501	513	26	33	1	214	1
2078	549	40	17	1	207	1
960	552	25	34	1	149	1
933	557	15	13	1	59	1
882	604	42	44	2	299	1
385	680	24	33	1	193	1
813	696	20	20	1	163	1
301	773	24	37	1	245	1
1018	778	8	46	1	162	1
1212	782	39	20	1	205	1
1401	791	11	40	1	80	1
1586	838	20	20	2	279	1
1403	907	18	21	1	156	1
470	935	23	34	1	195	1
1093	1006	36	24	1	173	1
1281	1015	30	28	1	120	1
246	1031	39	22	2	256	1
1382	1040	23	23	1	162	1
915	1313	23	35	1	177	2
799	1356	44	18	1	152	2
974	1418	30	43	1	205	2
375	1426	39	28	1	174	2
704	1447	33	16	1	83	2
1518	1447	34	22	2	271	2
1429	1471	27	23	1	172	2
1659	1487	33	33	1	196	2
1346	1574	36	19	1	176	2
1784	1627	29	22	1	167	2
1588	1656	19	42	1	153	2
1473	1733	33	24	1	105	2
1223	1803	25	38	1	202	2
723	1828	27	44	1	188	2
1731	2014	19	34	1	123	2
1565	2020	30	28	1	168	2
1616	2106	19	31	1	123	2
1012	2166	37	30	1	200	2
1163	2249	36	19	2	271	2
