# File saved at:	Fri Oct 18 16:21:04 CDT 2013
# Egg count:	168
# Automated counting:	Done
# Manual inspection:	Done
# pX	pY	width	height	nEgg	probability	method
796	1295	25	38	4	314	Automated counting
972	1802	23	40	4	311	Automated counting
779	1756	25	26	4	252	Automated counting
1096	1445	19	33	4	295	Automated counting
949	1715	22	27	4	289	Automated counting
714	1818	23	28	3	227	Automated counting
1511	1289	15	26	3	162	Automated counting
1339	1034	15	23	3	153	Automated counting
851	1667	16	19	3	216	Automated counting
817	1734	19	15	3	211	Automated counting
834	1497	20	13	3	179	Automated counting
1437	1602	22	11	3	182	Automated counting
1539	1403	13	16	3	144	Automated counting
2226	1991	19	18	2	144	Automated counting
641	1543	14	23	2	112	Automated counting
746	1831	18	17	2	147	Automated counting
780	1726	18	17	2	112	Automated counting
960	1777	17	16	2	154	Automated counting
1049	1667	19	14	2	123	Automated counting
877	1115	15	17	2	121	Automated counting
641	1416	13	19	2	106	Automated counting
829	1417	11	22	2	143	Automated counting
929	1453	15	16	2	164	Automated counting
708	1721	11	21	2	106	Automated counting
758	1714	13	17	2	122	Automated counting
1000	1580	14	15	2	125	Automated counting
993	1318	12	17	2	163	Automated counting
1048	1225	15	13	2	124	Automated counting
1173	1599	15	13	2	121	Automated counting
1428	1446	15	13	2	127	Automated counting
1052	1531	11	17	2	124	Automated counting
1345	1115	17	11	2	96	Automated counting
797	1547	12	14	2	107	Automated counting
1311	1691	11	15	2	116	Automated counting
1358	1416	16	10	2	103	Automated counting
1038	1290	13	12	2	132	Automated counting
1587	1329	13	12	2	120	Automated counting
937	1541	13	12	2	110	Automated counting
1116	1429	17	9	2	122	Automated counting
1111	1068	10	15	2	112	Automated counting
1435	1402	16	9	2	109	Automated counting
1371	1044	13	10	2	88	Automated counting
1427	1059	11	11	2	87	Automated counting
764	1634	10	12	1	88	Automated counting
911	1714	11	10	1	85	Automated counting
1016	1848	10	10	1	75	Automated counting
797	1609	10	10	1	74	Automated counting
1011	1480	11	9	1	84	Automated counting
1003	1282	10	9	1	64	Automated counting
1051	1512	10	9	1	67	Automated counting
1119	1383	10	9	1	73	Automated counting
1184	1140	9	10	1	77	Automated counting
1524	1322	10	9	1	81	Automated counting
822	1564	9	10	1	76	Automated counting
906	1543	9	10	1	71	Automated counting
914	1606	9	10	1	73	Automated counting
940	1694	10	9	1	67	Automated counting
948	1407	10	9	1	78	Automated counting
1412	1071	11	8	1	73	Automated counting
848	1650	11	8	1	63	Automated counting
1051	1647	9	9	1	64	Automated counting
1131	1405	9	9	1	69	Automated counting
1164	1293	9	9	1	69	Automated counting
949	1480	9	9	1	62	Automated counting
1013	1644	8	10	1	60	Automated counting
1040	1867	10	8	1	70	Automated counting
1054	1475	10	8	1	61	Automated counting
1189	1353	10	8	1	59	Automated counting
1472	1415	10	8	1	63	Automated counting
1552	1717	8	10	1	63	Automated counting
911	1589	8	10	1	72	Automated counting
925	1542	10	8	1	59	Automated counting
934	1555	10	8	1	65	Automated counting
969	1111	10	8	1	54	Automated counting
969	1860	8	10	1	63	Automated counting
922	1617	7	11	1	65	Automated counting
968	1298	7	11	1	73	Automated counting
1025	1690	9	8	1	62	Automated counting
1033	1543	8	9	1	62	Automated counting
1152	1242	9	8	1	63	Automated counting
1163	1280	8	9	1	57	Automated counting
1170	1244	8	9	1	58	Automated counting
1263	1114	9	8	1	60	Automated counting
1590	1674	8	9	1	53	Automated counting
929	1518	9	8	1	58	Automated counting
962	1490	9	8	1	61	Automated counting
976	1574	8	9	1	62	Automated counting
979	1511	8	9	1	63	Automated counting
997	1462	8	9	1	61	Automated counting
1358	1043	10	7	1	50	Automated counting
1482	1426	7	10	1	58	Automated counting
954	1441	11	6	1	50	Automated counting
837	1441	8	8	1	37	Automated counting
1032	1645	9	7	1	57	Automated counting
1422	1315	7	9	1	49	Automated counting
1473	1274	9	7	1	61	Automated counting
1669	1297	9	7	1	58	Automated counting
932	1320	6	10	1	43	Automated counting
956	1433	10	6	1	46	Automated counting
1319	1413	7	8	1	35	Automated counting
1474	1258	8	7	1	44	Automated counting
1513	1400	7	8	1	47	Automated counting
1629	1482	8	7	1	46	Automated counting
1715	1302	7	8	1	52	Automated counting
1783	714	7	8	1	42	Automated counting
1844	1324	7	8	1	48	Automated counting
793	1284	7	8	1	39	Automated counting
