# Last update	2015-03-20 Fri 01:12:26
# Herm count	73
# Male count	8
# Status	Not Inspected
# pX	pY	width	height	nHerm	nMale	length (um)	fatness	e1	e2	maskImageIDNumb	unknown
3724	590	279	110	0	0	1933.1380	0.000000	0.000000	0.000000	0	true
4100	732	551	311	0	0	3903.8364	0.000000	0.000000	0.000000	2	true
2247	742	241	196	0	0	0.0000	0.000000	0.000000	0.000000	8	true
4831	1182	289	314	0	0	2764.2352	0.000000	0.000000	0.000000	16	true
1904	1992	126	159	1	0	1266.8972	16.111111	0.428571	0.485643	29	false
2925	2027	151	68	1	0	1054.2119	12.432432	0.434613	0.666667	30	false
3212	2108	60	171	1	0	1148.9912	12.676471	0.507371	0.678730	32	false
2751	2110	151	68	1	0	1241.1269	13.913793	0.488397	0.538516	33	false
2229	2135	161	84	1	0	1204.0437	14.987805	0.589015	0.732177	34	false
3002	2135	135	37	0	1	944.0320	9.475862	0.485071	1.077033	35	false
2892	2146	36	204	1	0	1337.1307	14.281553	0.519685	0.521536	36	false
3022	2222	110	112	1	0	1020.1471	14.437037	0.418638	0.571429	37	false
3492	2278	53	161	1	0	1090.6630	12.604938	0.495261	0.507371	38	false
2990	2282	133	153	1	0	1265.7171	17.024691	0.470360	0.554700	39	false
3150	2189	197	203	0	0	0.0000	0.000000	0.000000	0.000000	40	true
3163	2412	187	171	0	0	0.0000	0.000000	0.000000	0.000000	41	true
3557	2413	103	268	0	0	0.0000	0.000000	0.000000	0.000000	42	true
3759	2485	157	65	1	0	1195.9252	14.062147	0.540343	0.617611	43	false
1334	2529	95	164	1	0	1232.7712	14.662722	0.382821	0.538516	44	false
1445	2531	66	158	1	0	1125.7642	13.327044	0.462250	0.567646	45	false
2185	2469	164	113	1	0	1374.6202	25.145729	0.322490	0.357143	46	false
3695	2607	159	116	1	0	1278.0382	15.970760	0.372104	0.548530	47	false
2050	2611	98	131	1	0	1065.8566	12.141935	0.500000	0.671729	48	false
2801	2576	149	62	1	0	1067.7320	12.410596	0.447214	0.666667	49	false
2114	2726	110	85	1	0	992.6264	11.513514	0.555556	0.608276	50	false
3991	2804	44	153	1	0	1076.8712	12.082278	0.500000	0.507371	52	false
2250	2817	95	108	1	0	1168.0936	13.647059	0.548530	0.552158	53	false
2807	2836	89	112	1	0	1021.1888	11.072368	0.455321	0.563093	54	false
4047	2844	81	142	1	0	1023.8725	12.748201	0.537484	0.570826	55	false
1130	2788	160	82	1	0	1175.9765	13.721212	0.470360	0.588348	56	false
2996	2857	229	195	0	0	0.0000	0.000000	0.000000	0.000000	57	true
1874	2904	133	84	1	0	1084.5877	12.509677	0.500000	0.546781	58	false
4013	2998	73	180	1	0	1248.1680	24.428571	0.325960	0.555556	59	false
3283	2951	127	154	0	0	0.0000	0.000000	0.000000	0.000000	60	true
3778	3040	114	138	1	0	1268.5593	14.539683	0.588348	0.626099	61	false
1327	3041	139	59	1	0	1060.3044	12.018868	0.537484	0.596464	62	false
3492	3067	136	108	0	0	0.0000	0.000000	0.000000	0.000000	63	true
1280	3082	99	141	1	0	1082.5755	13.314685	0.460977	0.618080	64	false
3243	3089	227	366	0	0	0.0000	0.000000	0.000000	0.000000	65	true
1766	3015	142	96	1	0	1128.8842	14.177215	0.456070	0.500000	66	false
3923	3118	121	103	1	0	1049.9925	12.786207	0.570088	0.651920	67	false
1672	3144	68	134	1	0	1032.3676	13.020408	0.537484	0.651920	68	false
4061	3147	117	129	1	0	1115.4919	14.306122	0.364216	0.506594	69	false
1253	3196	108	161	0	0	0.0000	0.000000	0.000000	0.000000	70	true
4774	3268	130	162	1	0	1305.7273	16.642857	0.372104	0.470360	71	false
3681	3256	248	136	0	0	0.0000	0.000000	0.000000	0.000000	73	true
3834	3416	82	184	1	0	1293.1107	14.423913	0.509902	0.642529	74	false
2323	3431	79	338	0	0	2287.3119	0.000000	0.000000	0.000000	75	true
1680	3436	170	83	0	0	0.0000	0.000000	0.000000	0.000000	76	true
3972	3485	135	85	1	0	1005.2969	11.890511	0.449719	0.614636	77	false
3590	3499	177	108	1	0	1503.8659	18.686099	0.478913	0.555556	78	false
3165	3567	139	171	0	0	0.0000	0.000000	0.000000	0.000000	79	true
3963	3569	181	82	1	0	1283.3287	13.922652	0.485643	0.605257	80	false
4182	3600	170	61	1	0	1155.8354	12.686391	0.537484	0.566352	81	false
3438	3613	58	126	1	0	967.3965	13.623077	0.470360	0.640312	82	false
3756	3618	131	52	1	0	1025.2936	13.116438	0.434372	0.517727	83	false
2620	3605	148	179	0	0	0.0000	0.000000	0.000000	0.000000	84	true
2479	3682	103	130	1	0	1143.0494	18.897590	0.333333	0.430116	85	false
2962	3623	180	188	0	0	0.0000	0.000000	0.000000	0.000000	87	true
3704	3699	78	168	1	0	1275.1065	21.945355	0.362867	0.511408	88	false
2517	3733	67	196	0	0	0.0000	0.000000	0.000000	0.000000	89	true
2238	3741	47	123	0	1	831.9126	8.206612	0.434372	0.877058	90	false
3235	3747	113	115	1	0	1149.6034	12.750000	0.351364	0.537484	91	false
1406	3761	148	111	1	0	1234.8129	13.604651	0.383131	0.454077	92	false
1635	3764	28	138	0	1	894.4719	8.514493	0.707107	0.808122	93	false
3412	3821	51	200	1	0	1300.0088	17.233503	0.358193	0.363636	94	false
3506	3776	187	191	0	0	0.0000	0.000000	0.000000	0.000000	95	true
3879	3823	190	89	1	0	1346.5027	15.596859	0.536656	0.565962	96	false
2923	3825	90	64	0	1	903.8675	9.228346	0.461644	0.868243	97	false
2578	3821	176	183	0	0	0.0000	0.000000	0.000000	0.000000	98	true
1135	3838	59	140	1	0	1086.7363	13.390728	0.447214	0.686803	99	false
4059	3715	152	156	0	0	0.0000	0.000000	0.000000	0.000000	100	true
2684	3883	133	104	1	0	1099.0868	10.657718	0.128037	0.217186	101	false
4109	3888	80	86	0	1	944.0639	7.769231	0.620174	1.000000	102	false
3800	3891	135	177	0	0	0.0000	0.000000	0.000000	0.000000	103	true
3312	3893	125	137	1	0	1251.8349	14.154286	0.400000	0.495261	104	false
2729	3895	148	58	0	0	0.0000	0.000000	0.000000	0.000000	105	true
1276	3878	143	172	0	0	0.0000	0.000000	0.000000	0.000000	106	true
4142	3904	170	78	1	0	1027.1715	20.391892	0.495261	0.866469	107	false
3490	4013	170	53	1	0	1158.3174	13.220238	0.495261	0.558504	108	false
3001	4023	139	119	1	0	1186.9855	15.823899	0.298511	0.563093	109	false
1580	3941	68	124	1	0	1122.2881	12.603774	0.391077	0.404304	110	false
2344	4049	100	148	1	0	1176.2951	13.376543	0.454077	0.538516	111	false
3900	4077	44	167	1	0	1152.1196	12.556213	0.410264	0.500000	112	false
2870	4080	135	121	1	0	1121.4384	31.819444	0.374270	0.522530	113	false
4688	4142	109	56	0	1	891.6176	9.723577	0.509902	1.510381	114	false
1698	3963	156	339	0	0	0.0000	0.000000	0.000000	0.000000	115	true
1828	4194	137	57	0	1	977.4216	9.652174	0.316228	0.894427	116	false
1965	4230	52	301	0	0	2082.6679	0.000000	0.000000	0.000000	117	true
2035	4235	50	144	0	0	986.2892	11.062937	0.415227	0.563093	118	true
3703	4148	110	137	0	0	0.0000	0.000000	0.000000	0.000000	119	true
4349	4257	107	156	1	0	1194.6741	14.696203	0.382188	0.532152	120	false
4140	4280	93	131	1	0	1133.1435	12.853659	0.454077	0.843274	121	false
3036	4284	69	203	0	0	0.0000	0.000000	0.000000	0.000000	122	true
3109	4290	126	59	0	0	949.1717	10.945205	0.444444	0.596795	123	true
1595	4313	172	89	1	0	1269.6738	19.005376	0.428571	0.548530	124	false
3302	4328	172	72	1	0	1198.5197	20.231214	0.085436	0.441942	125	false
2455	4353	159	130	0	0	0.0000	0.000000	0.000000	0.000000	126	true
1991	4369	143	108	1	0	1125.8076	14.270270	0.670820	0.680074	127	false
3583	4263	175	239	0	0	2749.1694	0.000000	0.000000	0.000000	128	true
4272	4407	131	136	1	0	1188.4889	14.874172	0.519875	0.539072	129	false
3692	4409	247	166	0	0	0.0000	0.000000	0.000000	0.000000	130	true
3612	4412	176	210	0	0	0.0000	0.000000	0.000000	0.000000	131	true
3128	4483	144	119	1	0	1214.8254	15.533333	0.511408	0.582623	132	false
2035	4490	125	45	0	0	998.1093	10.930070	0.479301	0.541390	133	true
2501	4492	28	164	1	0	1039.4635	11.723926	0.412311	0.671729	134	false
1648	4493	111	115	1	0	1028.6552	12.832117	0.447214	0.537484	135	false
1566	4507	167	39	1	0	1087.9722	11.515152	0.246932	0.602080	136	false
1931	4518	99	102	1	0	1008.5070	11.513514	0.314658	0.563093	137	false
2887	4519	223	232	0	0	0.0000	0.000000	0.000000	0.000000	138	true
2247	4495	131	242	0	0	0.0000	0.000000	0.000000	0.000000	139	true
1902	4606	35	178	1	0	1153.2223	12.480226	0.558504	0.605257	140	false
2023	4631	246	122	0	0	0.0000	0.000000	0.000000	0.000000	141	true
2291	4697	118	161	0	0	0.0000	0.000000	0.000000	0.000000	142	true
3316	4702	190	28	1	0	1200.1092	12.685864	0.452679	0.666667	143	false
3564	4704	112	95	1	0	1066.4546	11.622642	0.444444	0.455321	144	false
2166	4756	136	81	1	0	1231.5535	14.476190	0.500000	0.517727	145	false
3142	4769	125	108	1	0	1027.9680	13.946565	0.500000	0.632456	146	false
3693	4826	29	154	0	0	1006.0683	11.375000	0.434613	0.641179	147	true
1843	4841	81	165	1	0	1175.6324	19.533333	0.398015	0.428353	148	false
2000	4868	126	50	0	0	894.5574	8.953125	0.670820	0.739709	149	true
4380	4876	67	120	0	0	963.1746	11.702290	0.428571	0.858898	150	true
3886	5019	187	32	1	0	1176.0755	12.717391	0.507371	0.509902	152	false
4263	5132	212	111	0	0	0.0000	0.000000	0.000000	0.000000	153	true
3068	5315	118	62	0	0	859.5816	12.083333	0.455321	0.646813	157	true
5044	5468	224	269	0	0	2250.2033	0.000000	0.000000	0.000000	160	true
2066	5721	160	31	0	1	1026.7076	10.212500	0.589015	0.700404	161	false
