File	true length (um)	e1	e2	fatness	nMale	nHerm	nY
I:\Jung\My Temp\training source - Copy\hermaphrodites\her1.jpg	1129.9731	0.5114	0.6183	11.9792	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her10.jpg	1122.3741	0.5375	0.6021	12.6849	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her11.jpg	1215.3549	0.4243	0.6021	14.1757	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her12.jpg	1198.7520	0.5657	0.5666	12.6938	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her13.jpg	1210.6570	0.3313	0.6825	11.1412	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her14.jpg	1287.9957	0.4734	0.5590	11.7953	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her15.jpg	1260.6976	0.5432	0.6717	12.8553	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her16.jpg	1355.4939	0.4851	0.5812	12.8057	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her17.jpg	1247.1509	0.5893	0.5968	11.9814	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her19.jpg	1241.7290	0.5701	0.5968	12.6429	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her2.jpg	1158.1514	0.3492	0.5000	13.0345	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her20.jpg	1180.8703	0.5631	0.5812	12.2368	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her21.jpg	1168.1189	0.5000	0.6565	11.5359	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her22.jpg	1182.8686	0.5234	0.6412	11.7500	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her23.jpg	1054.1814	0.6250	0.8246	10.5903	1	0	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her25.jpg	1101.4463	0.5414	0.5631	9.5600	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her26.jpg	1051.0648	0.5234	0.5812	11.6370	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her28.jpg	1244.7779	0.5547	0.6667	14.7847	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her29.jpg	1217.0324	0.4826	0.6717	12.3500	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her3.jpg	1111.5376	0.3430	0.5199	12.5108	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her30.jpg	1231.1546	0.4346	0.6000	12.4819	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her32.jpg	1292.6326	0.5114	0.6403	13.1111	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her33.jpg	1187.8165	0.5666	0.6667	12.2063	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her34.jpg	1101.8885	0.5414	0.5531	10.5903	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her35.jpg	1236.3397	0.5074	0.5812	11.8086	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her36.jpg	1248.2296	0.5590	0.5812	14.0933	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her37.jpg	1209.7256	0.5300	0.6374	12.2407	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her38.jpg	1203.4425	0.5714	0.5812	12.6376	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her39.jpg	1231.9091	0.4165	0.5556	12.7469	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her41.jpg	1269.5191	0.4975	0.6000	12.9432	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her42.jpg	1272.5453	0.5074	0.5375	13.1538	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her43.jpg	1183.1156	0.4553	0.5812	13.2517	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her44.jpg	1248.6727	0.5199	0.6325	15.1745	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her45.jpg	1099.0558	0.6202	0.7942	10.7055	1	0	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her46.jpg	1465.2496	0.4472	0.4714	15.0481	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her47.jpg	1303.8860	0.5812	0.6468	13.4177	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her48.jpg	1252.4391	0.3638	0.5270	12.0417	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her49.jpg	1352.0167	0.4286	0.5234	13.2528	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her5.jpg	1207.1134	0.5631	0.6717	11.3239	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her50.jpg	1247.5894	0.5968	0.6325	13.7871	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her51.jpg	1264.0912	0.5812	0.6519	13.6981	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her52.jpg	1235.3619	0.5968	0.7232	13.2628	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her6.jpg	1217.3156	0.4975	0.6183	11.5882	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her7.jpg	1187.2799	0.4939	0.5883	12.5864	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her8.jpg	1142.0180	0.5000	0.5300	11.7895	0	1	0	
I:\Jung\My Temp\training source - Copy\hermaphrodites\her9.jpg	1131.8825	0.4346	0.4740	11.9296	0	1	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar1.jpg	686.2621	0.7352	0.7500	7.9195	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar10.jpg	716.7036	0.6346	0.7443	10.7391	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar11.jpg	932.1604	0.3430	0.8692	10.4464	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar12.jpg	962.7080	0.4961	0.7468	9.6772	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar13.jpg	993.0052	0.5099	0.6667	9.1231	1	0	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar14.jpg	994.0565	0.4243	0.7071	9.7313	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar15.jpg	780.0452	0.7276	0.7454	7.6058	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar16.jpg	611.5580	0.6934	0.7284	7.4588	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar17.jpg	789.5009	0.4714	0.7454	7.5566	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar18.jpg	1041.3096	0.5893	0.7454	10.5538	1	0	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar19.jpg	754.6832	0.5714	0.6778	7.9524	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar2.jpg	847.0366	0.6778	0.7942	7.5536	1	0	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar22.jpg	974.2429	0.5890	0.6000	10.9492	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar24.jpg	947.4418	0.5831	0.6146	8.9677	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar25.jpg	763.7313	0.5414	0.7071	8.3939	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar26.jpg	762.0482	0.7016	0.7454	9.8901	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar28.jpg	862.3236	0.4939	0.5571	8.4483	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar3.jpg	857.4067	0.6402	0.6667	11.6768	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar31.jpg	646.9439	0.5883	0.5883	5.9663	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar32.jpg	686.4892	0.5000	0.7906	8.1538	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar35.jpg	604.0981	0.4385	0.8839	7.4605	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar37.jpg	791.4246	0.5831	0.8575	8.9065	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar38.jpg	697.9727	0.6872	0.7071	6.0198	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar39.jpg	770.7275	0.4714	0.6374	8.3019	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar4.jpg	894.3958	0.6679	0.6868	10.0263	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar40.jpg	917.3934	0.6778	0.8771	7.9920	1	0	0	
