# File saved at:	Fri Oct 18 15:33:52 CDT 2013
# worms count:	71
# pX	pY	width	height	length(micrometers)	imageClipN
2132	2757	103	186	1483.3721293914816	45
4260	3563	184	77	1352.8971334084529	73
4552	3138	152	103	1338.7092697883895	58
4619	3042	187	39	1337.5794660920958	53
3247	1904	90	97	1336.5018138254777	23
3876	2529	184	59	1335.279908800279	41
4133	1536	102	111	1319.3381587696504	8
3844	3606	122	95	1318.0777918106646	75
3129	2065	96	72	1299.7337440460326	28
2815	1747	108	81	1298.1840352429015	13
2703	2901	59	177	1293.9888119777963	51
2550	2203	138	85	1288.9551920127392	33
4586	3281	138	116	1288.6834263740702	66
4424	3126	143	70	1284.4075772203116	57
4008	1680	126	95	1276.6318031163182	9
4079	2290	39	182	1271.809446754332	34
4022	3180	140	84	1271.4706702711749	62
4381	3304	94	124	1267.6308144642853	67
4731	3889	36	179	1265.9093636740074	85
2894	3483	94	133	1260.3922117321788	70
3421	1850	45	180	1259.374558766135	17
3870	1536	59	155	1257.480047166344	6
4855	3109	170	71	1256.7516615927207	56
3396	2354	151	72	1255.482217937622	35
3052	3176	85	163	1254.0031475483386	61
4248	1810	72	160	1246.7284816265874	15
3407	1334	129	106	1246.2564250900725	1
3345	2080	65	157	1243.371247017771	29
4182	1744	89	123	1242.0572406636588	11
3413	3818	63	146	1238.2164740780752	83
2276	2471	64	129	1234.685024286249	40
2418	2851	103	125	1229.0751938287647	49
2674	2443	59	162	1228.7243647186085	38
3428	2836	134	103	1227.7372513637345	48
3296	3945	106	81	1226.8262255494622	86
4221	2814	120	134	1219.7063770478503	46
2211	2932	124	118	1217.6149585247747	52
3543	2883	102	127	1215.3338882171288	50
2016	2459	93	137	1212.850128267493	39
4341	2064	154	52	1210.3317930936603	27
4040	4381	43	155	1209.299614304748	90
3416	3748	115	109	1205.0198039896843	82
4960	2834	118	112	1202.1130885505993	47
3902	3850	40	161	1200.5758404181381	84
3798	3130	138	62	1198.4940757779227	60
3437	2619	38	168	1187.9982620885228	42
2542	3065	34	170	1185.2942362914273	55
2883	1862	126	86	1184.5879652713359	19
3127	2418	132	92	1178.6418315265582	37
2471	2153	113	77	1178.3294643501836	31
3662	3215	119	95	1176.544963876726	63
1962	3143	177	28	1176.3270967734054	59
3798	1838	108	134	1175.3842869773162	21
2806	1843	38	163	1167.497347373492	16
2669	2154	86	132	1165.939139060998	32
2036	3217	124	64	1164.1276520940064	64
2655	3624	89	82	1164.0770630814975	76
3116	4306	29	168	1152.8459267262758	89
2502	3635	83	85	1145.6784651430448	78
3111	4603	89	133	1132.7270323710457	93
4316	1866	118	78	1126.2988546149445	22
4734	1868	140	80	1124.1013861268455	18
5278	3278	145	56	1074.4272826013782	65
1884	2376	108	64	1062.26176150771	36
2705	4396	89	34	693.8843132179611	91
4511	1465	67	38	487.9681014146861	3
4615	1757	61	23	462.66629325273044	12
1992	1513	32	55	429.19636956022515	4
4366	1524	50	41	419.35491905604476	5
4570	1440	49	36	383.75660287211923	2
4459	1561	31	50	373.72187301401124	7
