# File saved at:	Fri Oct 18 15:35:37 CDT 2013
# worms count:	135
# pX	pY	width	height	length(micrometers)	imageClipN
4942	1450	178	206	1822.6866435919246	12
4754	1301	176	139	1521.6159600373787	8
5648	3840	62	207	1484.324090335407	68
4056	845	192	82	1457.7794169682152	4
3735	1744	82	109	1087.0669998354772	19
4359	1053	121	89	1072.4301050111255	6
5316	2911	82	26	617.4353574547557	43
4383	1795	67	43	614.749818641831	21
4596	4470	60	46	589.6913016595647	89
3716	4851	33	82	587.2436048995785	105
3099	5094	81	20	580.3058194518693	118
3145	1787	46	73	576.9976858901196	20
4749	2555	37	75	575.9354702250629	37
3057	3795	78	32	573.7940398762232	66
2923	5151	19	81	570.4768296183618	120
4232	1712	80	24	566.9008171275248	17
2636	4810	33	75	566.6966395200939	103
4663	4678	26	80	566.6921011720383	96
4125	3919	59	58	560.4887276114553	72
4659	4369	42	65	559.9645940969848	85
3978	4246	58	60	559.3619742977737	80
4262	2742	38	75	559.1271826274476	40
4563	4356	22	78	559.1226442793917	84
4267	4695	31	67	558.7917901188496	97
3430	2306	27	77	558.0419416301643	29
3071	1666	41	70	557.0118279934471	15
3762	5290	74	42	555.0215874953889	135
5034	2686	38	72	551.0381305683865	39
3445	5296	67	47	550.4224729117557	134
5138	3307	73	41	549.2551180603717	55
5077	3360	33	69	548.9458012666134	56
4004	4999	45	51	547.7599594310584	112
4971	4045	57	36	547.2864149290976	74
3365	5325	62	42	547.152801283791	136
3846	1462	56	38	546.5411047884686	13
4651	2409	69	36	546.0084717646342	32
3293	4877	65	47	545.6676301292844	106
2612	4101	59	47	545.1250096306429	76
4695	4074	49	55	544.4672624708664	75
4733	4623	33	65	543.1563064993693	92
4563	3614	32	68	542.5215846718194	62
4627	3556	53	50	541.404818832945	60
3679	3191	33	64	540.4753060345002	50
3589	2551	63	32	539.5372937266907	36
4488	4674	74	33	538.9355847061754	95
3884	2488	63	32	537.399824539159	34
5268	2939	47	63	537.1410967579102	44
3842	4935	34	74	535.3335709522253	109
3957	5204	33	72	535.3335709522249	123
4588	3259	36	57	535.2054064336704	53
4005	4337	52	56	534.6212736186303	83
4125	4406	43	60	534.5521976219491	87
3522	1639	72	38	533.9550269494899	14
4540	2660	18	76	531.5443041578462	38
4959	4201	66	26	530.685355321525	78
3840	5117	31	72	526.1407909117103	119
3956	5348	34	50	526.1047277220632	141
3431	5206	56	40	525.4109173726398	124
4431	4905	44	59	525.3363922492069	108
4890	2955	47	42	524.0814744169711	45
4547	4902	53	54	523.7176074493942	107
3183	5280	49	45	523.4007019249667	133
3415	1689	38	59	520.0619543003211	18
4203	1692	62	38	519.464783627862	16
3122	5012	61	43	518.7424988194597	113
2134	3533	18	74	518.612846335462	59
3552	3904	14	76	516.9434725231392	69
5233	3107	65	41	513.923118388363	48
4529	3402	31	67	509.9441998094166	58
3414	2428	63	38	509.61879477562525	33
5327	3150	73	28	509.44457959261655	49
2969	2280	75	14	509.0631364195642	28
4549	4267	29	65	505.77348984198557	82
4197	4241	26	71	504.5085845349422	79
4583	3904	29	62	504.02109139686604	70
5381	3219	31	65	503.54300854685016	51
4021	5351	49	31	499.27623608920186	139
3447	5559	35	62	499.1741472854872	148
1936	4651	49	66	499.10507128880573	93
5163	2971	63	32	497.5423246282543	46
3950	1799	20	72	492.61177869733086	23
3626	5263	71	17	483.0160181169792	131
3305	3586	68	21	480.6934354929354	61
3200	3907	43	42	480.2559541806225	71
3264	1879	70	16	479.18523900620175	24
4375	4975	72	13	474.59157354931995	111
5046	4262	25	64	473.7572124623956	81
5109	3992	62	36	472.6680103038042	73
4292	4779	39	50	472.0287501281986	101
3429	1882	17	68	466.6567617236538	25
2535	4514	64	25	466.5200976957349	90
2691	5354	36	55	463.4652427884821	138
4229	5249	45	24	462.8635337679666	127
3793	5255	63	24	461.1350714337695	129
5235	3263	59	31	460.72515380173877	54
5021	4672	53	38	457.47850750600134	98
3166	5061	42	35	451.86322792176634	117
5216	2880	42	53	450.0372151319102	42
3816	3251	54	34	449.48155677584896	52
3203	2339	45	36	447.4483159959493	30
2677	1370	27	54	447.3562146670409	10
5198	4557	21	60	443.4287958793001	91
4882	5244	57	36	442.31656838848136	126
2576	772	64	17	441.26434019823284	3
3341	4738	60	24	435.0649277989576	99
3133	1884	36	25	431.3853385389625	26
1826	5182	58	20	431.25717402040766	121
3997	5241	31	54	430.1158948838632	125
2346	5436	47	45	429.58235108133323	145
3513	5266	42	38	427.0579895939976	132
3781	4140	59	20	426.5944325668445	77
4590	2537	22	59	425.02021046604256	35
5128	4664	32	45	413.514835276291	94
4039	5037	36	29	405.2230935752424	115
5445	3106	17	61	405.0113272371436	47
2554	4750	50	33	403.991201075233	100
4469	4968	47	30	403.4716059088188	110
3772	4416	14	57	396.3841930274967	86
4746	5030	46	36	396.26056685699734	114
3165	1322	23	48	393.2802370731768	9
4826	4834	40	36	372.4209045173211	104
3792	863	48	21	364.15763727525086	5
3817	5497	55	13	362.7415421174255	146
3297	1798	20	47	361.802041844173	22
4808	5251	47	29	353.5202876179318	128
3020	1920	51	17	352.7804266040542	27
3299	4463	46	20	346.19957103172703	88
3834	5348	6	55	335.25381535934497	137
3796	1422	46	18	334.75328436384916	11
5267	3360	33	32	308.47591273899377	57
4516	5535	36	29	304.26369045516424	147
5098	5046	22	44	294.81763176015164	116
3843	3796	31	26	292.4129352820071	67
2584	5731	40	15	261.2340693719546	149
4912	5256	32	24	256.542853459413	130
