# File saved at:	Fri Oct 18 15:37:16 CDT 2013
# worms count:	123
# pX	pY	width	height	length(micrometers)	imageClipN
5486	4624	58	104	828.0588734106034	116
5584	2556	24	116	793.7984996917099	24
5098	4245	22	75	531.1398356525671	97
3879	3373	57	33	447.7706706471274	51
3150	3383	43	48	447.42529066372236	52
3765	2465	20	60	446.13282167639596	21
3489	3928	59	24	436.6652256145993	79
3217	3424	20	60	426.643533613911	54
2946	3608	52	34	426.63503410454746	62
3269	3412	44	38	425.5728184394911	53
3100	3214	31	55	422.92788116426914	43
3627	3191	43	38	421.74203932871364	40
2581	3017	60	19	421.72900147129394	32
2763	3259	47	42	421.5393496867265	46
2452	2123	14	61	420.6928615210778	17
2387	3637	54	30	420.19233052558207	63
2689	4568	50	33	419.64971002694074	112
2850	4053	23	55	416.91267142281026	85
3737	3641	38	44	415.09210775970524	64
4062	3210	17	59	414.7467277763001	42
3722	3047	12	65	414.7421894282445	34
3950	3589	32	53	414.2777216223956	60
3551	3241	52	30	413.2300317802026	44
2674	3536	52	34	412.5077469718006	58
3851	3954	27	49	410.5850945049803	81
2668	4671	37	48	409.43531585907215	119
3406	2948	40	48	407.2739105606174	30
4157	4040	25	55	406.0965682344265	84
3752	3714	60	16	406.0244418551324	66
3470	2453	15	56	402.8499219386888	20
1985	4465	47	34	395.1798642077704	107
2843	4285	46	30	394.68329437358284	98
2990	3692	29	49	393.21116107649596	65
3857	3559	35	49	391.50027494777487	59
3602	3913	12	59	391.49119825166355	78
3027	3853	22	54	389.87241345185043	74
2530	4442	10	57	385.0024440082443	104
2915	4122	20	54	383.3836592084312	90
3039	4443	53	20	381.50854537150826	105
3063	3242	18	55	380.6796334113351	45
3200	3120	41	38	380.4869312441548	36
3837	3194	49	28	380.22061473223806	41
1326	4102	19	54	377.9756076142392	88
1699	4300	54	20	376.1465444417703	100
2597	4135	33	40	374.01666398490676	92
3308	3018	28	51	370.9948218846884	33
5456	4720	29	48	369.0361062282212	121
3787	3337	21	48	367.7066632725524	50
3928	2108	37	43	365.6143339707791	16
2058	4582	14	56	364.45547862875924	114
3616	3911	24	47	362.8827444934004	77
3509	3497	20	50	362.83669382894624	55
3887	4176	46	18	362.28557382094084	95
3789	3776	44	32	362.19347249203247	67
1280	1440	27	40	358.716572874025	9
1814	4170	38	43	357.99882641367867	94
3156	4298	20	49	357.4286422347543	99
3814	2364	22	48	354.7706671021125	18
3410	3820	12	52	354.1819959390169	70
3371	3518	10	53	353.6393754403754	57
3121	3986	17	53	353.1012932897896	82
3840	2825	19	51	353.1012932897895	27
3117	3808	45	32	348.5397298612461	68
3972	4701	43	35	344.68592541824205	120
3383	4132	28	36	343.64673508541296	91
2416	2497	32	33	342.7226714137191	22
2710	3833	47	23	341.2420386072684	71
3085	3306	11	52	337.957841156441	49
4006	2988	40	30	336.1463541894477	31
3005	4462	43	25	333.5804803857136	106
3212	3280	35	26	328.7795869387885	48
3381	3930	32	37	326.79239682334327	80
3327	4495	46	15	324.05230783660033	108
3455	4425	20	44	323.9271937006579	103
5464	2426	28	38	321.8118390666575	19
2737	2926	47	22	321.75275054478357	29
3308	4988	42	26	315.62241414218965	129
3819	4577	33	35	314.7619773404256	113
2350	4539	20	41	313.13411584450097	111
2277	4357	28	27	307.9332922403524	101
3533	4757	15	43	304.97598778875897	122
2533	4826	14	44	304.97598778875897	125
2528	3509	32	30	278.69011665453957	56
3584	4648	27	25	270.1275200935183	118
5504	2600	21	38	266.0664876604707	26
5573	2512	13	44	264.42013918037486	23
3557	4822	37	15	263.9150698368236	124
4656	3166	37	26	254.69926446408127	38
4451	3894	21	31	253.72370100118178	76
1541	3173	36	16	253.549485818173	39
5288	1969	32	20	248.54590272926026	14
3649	3840	38	10	237.48650836118625	73
1920	960	24	21	224.18664522316934	6
4089	3276	29	28	220.8063852821254	47
5734	3080	8	32	208.1827562880564	35
3189	4367	11	31	203.317325192506	102
2452	4869	20	22	202.39779986886796	126
3124	1687	26	12	194.94346963735669	11
1674	5185	20	29	192.50122200412204	130
3776	713	28	15	192.26246917248776	2
2478	4646	14	26	186.55508825934433	117
4373	986	20	23	185.5895122712522	8
2256	608	27	11	181.561492645239	1
5488	3814	13	26	181.19308732960644	69
2541	3840	19	23	179.55127719756638	72
2150	4144	15	23	174.7734090828683	93
4472	4931	8	27	166.54620503044518	128
3200	4525	20	19	163.44224907612562	110
3626	4875	12	25	161.68077393489472	127
4469	840	11	24	158.97674813779872	3
5496	2584	16	19	158.0341974819337	25
3192	4498	8	25	153.56869654360676	109
1920	916	16	23	152.4879938943795	4
2560	3864	19	13	150.5107912537413	75
5744	4088	4	24	149.24134759864205	87
5739	4064	8	24	147.07994230018755	86
5738	4032	14	24	144.49104316422677	83
3200	2880	5	24	141.6718907059956	28
5480	3602	17	14	138.5909600839031	61
5019	4589	16	22	135.72575696121785	115
5736	1829	8	21	123.82895112360669	12
2357	3143	9	19	114.63617108309147	37
5741	4120	8	16	108.14741683967225	89
