totalLiveWorms=60
Inspected-by-human
#Date: Fri Oct 18 15:28:29 CDT 2013
#lifespan-assay-software-version: 10/18/2013
#worm-details:
#nLive	X	Y	Width	Height
1	987	683	85	53
1	929	707	55	30
1	1074	728	62	28
1	1057	1108	36	81
1	1247	935	33	82
1	1272	987	8	18
1	1238	1018	33	23
1	1224	1032	11	8
1	723	930	50	53
1	1282	1608	46	51
1	1078	1348	39	54
1	555	1097	43	44
1	589	1093	54	28
1	892	297	42	45
1	403	918	33	55
1	806	1059	51	34
1	800	1025	31	31
1	563	791	41	42
1	1027	1634	33	52
1	1224	522	39	42
1	645	759	33	49
1	1408	1411	57	24
1	573	689	24	57
1	915	1515	44	31
1	1389	820	51	26
1	1445	810	30	29
1	1030	862	52	25
1	1580	739	22	59
1	600	618	43	30
1	460	1330	32	40
1	1332	877	41	31
1	1314	649	48	26
1	932	1473	48	26
1	1290	424	26	47
1	1125	1491	48	25
1	1011	830	46	26
1	1006	580	47	25
1	656	1471	58	20
1	625	1488	27	23
1	1175	1624	58	19
1	1307	616	40	27
1	942	1149	39	27
1	1189	1234	53	19
1	1170	1251	31	20
1	1322	1020	38	25
1	892	550	23	41
1	1126	1290	44	20
1	624	1313	17	51
1	1301	1157	48	17
1	1338	1527	16	49
1	1351	364	29	27
1	712	613	30	25
1	1660	864	20	36
1	1073	1445	42	16
1	1409	1152	34	19
1	1024	795	30	19
1	1471	562	27	20
1	1330	705	6	63
1	643	729	12	19
1	1201	1016	13	17
