#Avg trapped time in Control (sec):	56.08552
#Avg trapped time in Experimental (sec):	266.51639
#Escape time in Control (sec):	30
#Escape time in Experimental (sec):	198
#Time (sec)	Worm Count in Control	Worm Count in Experimental
0	5.035	5.024
2	4.314	4.874
4	5.500	5.181
6	5.500	5.150
8	5.500	5.339
10	5.500	5.094
12	5.500	4.827
14	5.500	5.165
16	5.500	5.205
18	5.500	5.150
20	5.500	5.500
22	5.500	5.500
24	5.500	5.142
26	5.500	5.291
28	5.140	4.709
30	3.266	4.842
32	3.061	5.280
34	2.704	4.893
36	2.412	4.981
38	2.222	4.864
40	2.317	4.623
42	2.244	4.616
44	2.288	4.587
46	1.857	4.382
48	1.426	4.463
50	1.857	4.543
52	2.207	4.550
54	2.127	4.302
56	2.258	4.353
58	2.295	4.580
60	2.273	4.631
62	2.178	4.609
64	2.207	4.382
66	2.149	4.536
68	2.222	4.536
70	2.258	4.200
72	2.222	4.426
74	2.105	4.331
76	1.959	4.696
78	1.631	4.660
80	1.412	4.755
82	0.883	4.784
84	0.861	4.295
86	0.898	4.185
88	0.693	4.492
90	0.212	4.412
92	0.000	4.616
94	0.000	4.594
96	0.000	4.616
98	0.000	4.565
100	0.000	4.755
102	0.000	4.528
104	0.000	4.689
106	0.000	5.083
108	0.000	5.039
110	0.000	4.755
112	0.000	4.492
114	0.000	4.426
116	0.000	4.485
118	0.000	4.740
120	0.000	4.740
122	0.000	4.382
124	0.000	4.368
126	0.000	4.550
128	0.000	4.507
130	0.000	4.229
132	0.000	4.061
134	0.000	4.317
136	0.000	4.426
138	0.000	4.047
140	0.000	4.441
142	0.000	4.039
144	0.000	4.309
146	0.000	4.178
148	0.000	4.353
150	0.000	4.368
152	0.000	4.361
154	0.000	4.339
156	0.000	4.470
158	0.000	4.667
160	0.000	4.857
162	0.000	4.828
164	0.000	4.616
166	0.000	4.601
168	0.000	4.623
170	0.000	4.222
172	0.000	4.404
174	0.000	4.419
176	0.000	4.361
178	0.000	4.251
180	0.000	4.375
182	0.000	4.397
184	0.000	4.631
186	0.000	4.536
188	0.000	4.514
190	0.000	4.193
192	0.000	4.120
194	0.000	4.397
196	0.000	4.054
198	0.000	3.842
200	0.000	4.193
202	0.000	4.280
204	0.000	4.485
206	0.000	4.726
208	0.000	4.441
210	0.000	4.142
212	0.000	4.266
214	0.000	4.134
216	0.000	4.200
218	0.000	4.018
220	0.000	4.382
222	0.000	4.193
224	0.000	4.039
226	0.000	4.039
228	0.000	4.091
230	0.000	3.981
232	0.000	4.105
234	0.000	3.660
236	0.000	3.543
238	0.000	3.441
240	0.000	4.054
242	0.000	4.098
244	0.000	4.061
246	0.000	4.178
248	0.000	4.200
250	0.000	4.309
252	0.000	4.346
254	0.000	4.375
256	0.000	4.010
258	0.000	4.390
260	0.000	4.638
262	0.000	4.412
264	0.000	4.609
266	0.000	4.507
268	0.000	4.368
270	0.000	4.302
272	0.000	4.711
274	0.000	4.543
276	0.000	4.536
278	0.000	4.572
280	0.000	4.266
282	0.000	4.200
284	0.000	4.455
286	0.000	4.777
288	0.000	4.711
290	0.000	4.514
292	0.000	4.353
294	0.000	4.382
296	0.000	4.485
298	0.000	4.799
