#Avg trapped time in Control (sec):	216.18593
#Avg trapped time in Experimental (sec):	320.78928
#Escape time in Control (sec):	18
#Escape time in Experimental (sec):	Worms didn't escape the circle
#Time (sec)	Worm Count in Control	Worm Count in Experimental
0	5.014	5.023
2	5.500	5.076
4	5.500	5.386
6	5.500	5.500
8	5.500	5.500
10	4.770	5.500
12	4.719	5.500
14	4.640	5.500
16	4.381	5.500
18	3.964	5.500
20	4.345	5.500
22	4.173	5.500
24	4.151	5.455
26	3.964	5.500
28	3.842	5.417
30	4.539	6.109
32	4.340	5.902
34	4.473	5.374
36	4.588	5.126
38	4.233	5.217
40	4.068	5.646
42	4.142	5.894
44	4.109	5.960
46	3.919	5.993
48	4.291	6.093
50	4.382	6.010
52	3.977	5.762
54	3.820	5.547
56	4.250	5.456
58	4.506	5.217
60	4.332	5.440
62	4.175	5.555
64	4.357	5.812
66	4.291	6.068
68	4.655	6.233
70	4.340	5.803
72	4.398	5.572
74	4.456	5.663
76	4.473	5.448
78	4.390	5.547
80	4.415	5.704
82	4.324	5.390
84	4.489	5.274
86	4.481	5.473
88	4.489	5.448
90	4.307	5.580
92	4.498	5.745
94	4.382	5.448
96	4.382	5.109
98	4.489	5.233
100	4.407	5.299
102	4.208	5.200
104	4.183	5.464
106	4.167	5.605
108	4.109	5.531
110	4.109	5.597
112	3.952	5.365
114	3.762	5.266
116	4.117	5.440
118	3.886	5.283
120	3.911	5.357
122	3.902	5.522
124	4.035	5.696
126	4.035	5.646
128	4.192	5.613
130	3.952	5.498
132	3.630	5.101
134	3.886	5.233
136	3.861	5.613
138	3.886	5.555
140	3.878	5.564
142	3.588	5.489
144	3.217	5.448
146	2.993	5.473
148	3.217	5.572
150	3.159	5.390
152	3.126	5.233
154	3.060	5.498
156	3.002	5.448
158	2.894	5.316
160	3.415	5.217
162	3.613	5.217
164	3.547	5.332
166	3.068	5.481
168	3.002	5.506
170	2.911	5.150
172	2.985	5.084
174	3.093	5.423
176	3.051	5.547
178	2.927	5.250
180	2.977	5.506
182	2.911	5.159
184	2.754	5.002
186	2.993	5.117
188	3.696	5.440
190	4.514	5.531
192	4.464	5.448
194	4.200	5.175
196	3.671	5.225
198	3.018	5.150
200	2.506	5.126
202	2.126	4.993
204	2.043	5.035
206	1.952	5.332
208	2.035	5.382
210	2.126	5.266
212	2.175	5.142
214	2.481	5.018
216	2.779	5.150
218	3.018	5.068
220	2.985	4.845
222	2.853	4.770
224	2.944	4.902
226	2.936	5.167
228	2.993	5.316
230	2.911	5.539
232	2.845	5.431
234	2.779	5.274
236	2.770	5.250
238	2.423	5.374
240	2.093	5.365
242	2.051	5.233
244	2.060	5.539
246	2.142	5.531
248	2.175	5.489
250	2.332	5.415
252	2.679	5.506
254	2.993	5.382
256	2.919	5.456
258	2.894	5.225
260	2.861	5.316
262	2.911	5.233
264	3.200	5.316
266	3.580	5.241
268	3.878	5.159
270	3.812	5.018
272	3.861	5.175
274	3.704	5.101
276	3.671	5.274
278	3.382	5.357
280	3.167	5.208
282	3.018	5.332
284	3.084	5.398
286	3.018	5.407
288	3.175	5.481
290	3.349	5.456
292	3.531	5.349
294	4.018	5.407
296	3.927	5.390
298	3.481	5.415
